access_point_id,stop_id,raw_stop_id,stop_name,mode,source_feed,district,in_system_a,in_system_b
iett_5250034__bus,iett_5250034,5250034,OĞLAK SOKAK,bus,iett_gtfs,Şile,True,False
iett_1125__bus,iett_1125,1125,EROL KAYA CADDESİ,bus,iett_gtfs,Pendik,True,False
iett_5250039__bus,iett_5250039,5250039,ANIL KAAN BERKÖZ SOKAK,bus,iett_gtfs,Maltepe,True,False
iett_5250042__bus,iett_5250042,5250042,MİRALAY ÇIKMAZI,bus,iett_gtfs,Maltepe,True,False
iett_5252286__bus,iett_5252286,5252286,MİRALAY ÇIKMAZI,bus,iett_gtfs,Maltepe,True,False
iett_5250049__bus,iett_5250049,5250049,ŞEHİT MUSTAFA CANBULDU,bus,iett_gtfs,Beykoz,True,False
iett_5250055__bus,iett_5250055,5250055,BÜYÜKBAKKALKÖY YOLU,bus,iett_gtfs,Maltepe,True,False
iett_5250056__bus,iett_5250056,5250056,BÜYÜKBAKKALKÖY YOLU,bus,iett_gtfs,Maltepe,True,False
iett_5250058__bus,iett_5250058,5250058,FERSAH SOKAK,bus,iett_gtfs,Pendik,True,False
iett_5250063__bus,iett_5250063,5250063,73.SOKAK,bus,iett_gtfs,Tuzla,True,False
iett_5250065__bus,iett_5250065,5250065,22.SOKAK,bus,iett_gtfs,Tuzla,True,False
iett_5250073__bus,iett_5250073,5250073,ÖMERLİ MEZARLIK,bus,iett_gtfs,Çekmeköy,True,False
iett_5250091__bus,iett_5250091,5250091,ÜMRANİYE KAYMAKAMLIĞI,bus,iett_gtfs,Ümraniye,True,False
iett_5250092__bus,iett_5250092,5250092,HAVA LOJMANLARI,bus,iett_gtfs,Maltepe,True,False
iett_5250093__bus,iett_5250093,5250093,HAVA LOJMANLARI,bus,iett_gtfs,Maltepe,True,False
iett_5250094__bus,iett_5250094,5250094,İBB ŞİLE ENGELLİLER KAMPI,bus,iett_gtfs,Şile,True,False
iett_5250095__bus,iett_5250095,5250095,İBB ŞİLE ENGELLİLER KAMPI,bus,iett_gtfs,Şile,True,False
iett_5250102__bus,iett_5250102,5250102,ZORLU SOKAK,bus,iett_gtfs,Çekmeköy,True,False
iett_5250104__bus,iett_5250104,5250104,AKAR ÇEŞMELER,bus,iett_gtfs,Çekmeköy,True,False
iett_5250107__bus,iett_5250107,5250107,SIRAPINAR MEZARLIĞI,bus,iett_gtfs,Çekmeköy,True,False
iett_5250106__bus,iett_5250106,5250106,SIRAPINAR MEZARLIĞI,bus,iett_gtfs,Çekmeköy,True,False
iett_5250108__bus,iett_5250108,5250108,EĞRİ ÇINAR,bus,iett_gtfs,Çekmeköy,True,False
iett_5250110__bus,iett_5250110,5250110,HAMİDİYE CADDESİ,bus,iett_gtfs,Sultanbeyli,True,False
iett_5250111__bus,iett_5250111,5250111,GÖLDERESİ,bus,iett_gtfs,Çekmeköy,True,False
iett_5250112__bus,iett_5250112,5250112,GÖLDERESİ,bus,iett_gtfs,Çekmeköy,True,False
iett_5250125__bus,iett_5250125,5250125,SAĞLIK OCAĞI,bus,iett_gtfs,Çekmeköy,True,False
iett_5250127__bus,iett_5250127,5250127,HAREM PERONLAR 1,bus,iett_gtfs,Üsküdar,True,False
iett_5250128__bus,iett_5250128,5250128,HAREM SONDURAK,bus,iett_gtfs,Üsküdar,True,False
iett_290826__bus,iett_290826,290826,OTOBAN ÇIKIŞI,bus,iett_gtfs,Sultanbeyli,True,False
iett_5250147__bus,iett_5250147,5250147,HASTANE,bus,iett_gtfs,Üsküdar,True,False
iett_5250152__bus,iett_5250152,5250152,EVİN SOKAK,bus,iett_gtfs,Çekmeköy,True,False
iett_5250155__bus,iett_5250155,5250155,MOTORLU TAŞIYICILAR KOOPERATİFİ,bus,iett_gtfs,Çekmeköy,True,False
iett_5250156__bus,iett_5250156,5250156,OTOYOL GİRİŞİ,bus,iett_gtfs,Çekmeköy,True,False
iett_5250166__bus,iett_5250166,5250166,SİPAHİOĞLU CADDESİ,bus,iett_gtfs,Beykoz,True,False
iett_5250169__bus,iett_5250169,5250169,ERGUVAN SOKAK,bus,iett_gtfs,Pendik,True,False
iett_5250170__bus,iett_5250170,5250170,ERGUVAN SOKAK,bus,iett_gtfs,Pendik,True,False
iett_5250177__bus,iett_5250177,5250177,YEŞİL BAHÇE CADDESİ,bus,iett_gtfs,Çekmeköy,True,False
iett_5250189__bus,iett_5250189,5250189,FANUS SOKAK,bus,iett_gtfs,Beykoz,True,False
iett_5250191__bus,iett_5250191,5250191,İSKİ ARITMA TESİSLERİ,bus,iett_gtfs,Çekmeköy,True,False
iett_5250192__bus,iett_5250192,5250192,İSKİ ARITMA TESİSLERİ,bus,iett_gtfs,Çekmeköy,True,False
iett_5250193__bus,iett_5250193,5250193,ŞÜKÜR SOKAK,bus,iett_gtfs,Beykoz,True,False
iett_5250205__bus,iett_5250205,5250205,SEVGİ EVLERİ ÇOCUK YUVASI,bus,iett_gtfs,Beykoz,True,False
iett_5250207__bus,iett_5250207,5250207,PLAZALAR,bus,iett_gtfs,Ümraniye,True,False
iett_5250210__bus,iett_5250210,5250210,MEVLANA HALİD CADDESİ ,bus,iett_gtfs,Maltepe,True,False
iett_5250213__bus,iett_5250213,5250213,GÜVENCE SOKAK,bus,iett_gtfs,Şile,True,False
iett_5250215__bus,iett_5250215,5250215,SÜLÜKLÜ GÖL MEVKİİ,bus,iett_gtfs,Şile,True,False
iett_5250219__bus,iett_5250219,5250219,FUZULİ CADDESİ,bus,iett_gtfs,Beykoz,True,False
iett_5250220__bus,iett_5250220,5250220,İSHAKLI MUHTARLIĞI,bus,iett_gtfs,Beykoz,True,False
iett_5250223__bus,iett_5250223,5250223,HAMZALAR SOKAK,bus,iett_gtfs,Sultanbeyli,True,False
iett_5250232__bus,iett_5250232,5250232,PİKNİK ALANI,bus,iett_gtfs,Şile,True,False
