feature,n_valid,n_missing,min,p5,p25,median,p75,p95,max,mean,std,iqr,zero_prevalence_pct,skewness,n_unique,flag_extreme_skew,flag_near_zero_variance,flag_very_sparse
bus_stop_count,22322,0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.21561688020786668,0.8573554011774339,0.0,91.84,4.927,12,True,False,True
distance_to_nearest_metrobus_m,22322,0,4.278940869151918,1367.6095307894268,8442.2246357301,20494.756796184753,38028.42055536086,54405.073114168605,70546.99732339228,23974.59347982982,17583.687373226443,29586.195919630765,0.0,0.471,22322,False,False,False
distance_to_nearest_bus_stop_m,22322,0,3.786709811341785,181.30823071652352,1324.2291233125611,7144.300814957683,28584.677915993932,50178.29410628722,65725.09716695467,15909.475963405737,17573.497308777543,27260.44879268137,0.0,0.925,22322,False,False,False
total_transit_stop_count,22322,0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.2424065943911836,0.9526521734618097,0.0,91.15,5.206,14,True,False,True
distance_to_nearest_transit_m,22322,0,3.786709811341785,170.6158537899778,1032.0614605208646,6046.0013486155985,28274.654843556804,49648.26325081242,65725.09716695467,15419.279337718235,17586.343840797606,27242.59338303594,0.0,0.947,22322,False,False,False
transit_stops_within_500m,22322,0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,0.7700474867843383,2.4358316868955208,0.0,85.05,4.015,25,True,False,False
transit_stops_within_1000m,22322,0,0.0,0.0,0.0,0.0,0.0,22.0,69.0,3.022713018546725,8.190114480439565,0.0,75.49,3.503,67,True,False,False
bus_stops_within_500m,22322,0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,0.6834065047934773,2.218554776196812,0.0,86.76,4.041,22,True,False,False
fixed_guideway_stations_within_1000m,22322,0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.12377923125167996,0.5990822986517318,0.0,93.62,7.715,13,True,False,True
number_of_transit_modes_accessible,22322,0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.18170414837380164,0.472770397414505,0.0,85.05,2.944,5,False,False,False
routes_serving_grid,22322,0,0.0,0.0,0.0,0.0,0.0,4.0,92.0,0.7725114237075531,4.04904087429158,0.0,91.15,9.067,70,True,False,True
unique_bus_routes,22322,0,0.0,0.0,0.0,0.0,0.0,4.0,91.0,0.7432129737478721,3.9585239164868122,0.0,91.84,9.159,69,True,False,True
unique_rail_lines,22322,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.010662127049547531,0.11963356941349183,0.0,99.1,13.495,4,True,False,True
bus_departures_per_day,22322,0,0.0,0.0,0.0,0.0,0.0,49.0,3010.0,18.491577815607922,115.23875887789971,0.0,91.76,10.843,587,True,False,True
bus_departures_peak_hour,22322,0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.04287250246393692,0.9854906130247669,0.0,99.5,35.873,28,True,False,True
cycle_infrastructure_length_km_ibb_only,22322,0,0.0,0.0,0.0,0.0,0.0,0.0,3.4056052234147245,0.0242009095831137,0.15047738979558115,0.0,95.99,8.383,897,True,False,True
cycle_infrastructure_density_km_per_km2_ibb_only,22322,0,0.0,0.0,0.0,0.0,0.0,0.0,33.23744967384985,0.12467342498453425,0.8653925741780526,0.0,95.99,12.042,897,True,False,True
protected_cycleway_length_km_ibb_only,22322,0,0.0,0.0,0.0,0.0,0.0,0.0,3.4056052234147245,0.016475396317762077,0.11648192509723204,0.0,96.85,10.068,704,True,False,True
protected_cycleway_density_km_per_km2_ibb_only,22322,0,0.0,0.0,0.0,0.0,0.0,0.0,21.307784932041887,0.08319302279743301,0.6489601631083471,0.0,96.85,12.821,704,True,False,True
distance_to_nearest_cycle_infrastructure_m_ibb_only,22322,0,0.3745476309180644,384.8520494110979,2477.6774391825866,7350.49242872985,15761.966983884815,33965.32707934313,54703.70994952212,10845.285548259106,10804.157181974802,13284.289544702227,0.0,1.43,22322,False,False,False
distance_to_nearest_bicycle_parking_m,22322,0,3.441278353989136,909.4016611722944,4515.436919458281,13821.01625759168,31257.756246568115,50009.49838785309,67739.56752418933,19054.339501619423,16558.089352125313,26742.319327109835,0.0,0.761,22322,False,False,False
bicycle_parking_count,22322,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.008108592420034047,0.1035917713232189,0.0,99.31,14.797,4,True,False,True
distance_to_nearest_micromobility_parking_m,22322,0,23.590991465586335,2118.180920765109,11002.889202099848,23207.037022096032,42483.831678996925,58612.54849315063,73360.40583938912,26948.733928259262,18553.180375504075,31480.94247689708,0.0,0.407,22322,False,False,False
micromobility_parking_count,22322,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.008959770629871876,0.16122598902314556,0.0,99.53,25.896,9,True,False,True
