cluster,feature,raw_median,raw_q1,raw_q3,raw_iqr,citywide_percentile_of_cluster_median,pct_deviation_from_50
4,ferry_terminal_count,0.0,0.0,0.0,0.0,49.9,0.1
5,ferry_terminal_count,0.0,0.0,0.0,0.0,49.9,0.1
6,ferry_terminal_count,0.0,0.0,0.0,0.0,49.9,0.1
0,distance_to_nearest_ferry_m,8648.705873204533,4035.224376204196,13876.626212788622,9841.401836584426,18.5,31.5
1,distance_to_nearest_ferry_m,4684.119529296203,2470.865805866428,7016.585930689376,4545.7201248229485,9.0,41.0
2,distance_to_nearest_ferry_m,5737.214577112653,3241.093358380995,9462.337975490509,6221.244617109514,11.5,38.5
3,distance_to_nearest_ferry_m,6230.239796102148,2817.865456417746,11979.365267248284,9161.499810830537,12.8,37.2
4,distance_to_nearest_ferry_m,46281.265165269666,39443.9364008229,53180.583579227794,13736.647178404892,82.6,32.6
5,distance_to_nearest_ferry_m,10993.451461074852,4948.544670119483,18359.711875791305,13411.167205671822,23.2,26.8
6,distance_to_nearest_ferry_m,19682.22068661311,12038.254028203852,26662.529105404727,14624.275077200875,40.5,9.5
0,metrobus_station_count,0.0,0.0,0.0,0.0,49.6,0.4
1,metrobus_station_count,0.0,0.0,0.0,0.0,49.6,0.4
2,metrobus_station_count,0.0,0.0,0.0,0.0,49.6,0.4
3,metrobus_station_count,0.0,0.0,0.0,0.0,49.6,0.4
4,metrobus_station_count,0.0,0.0,0.0,0.0,49.6,0.4
5,metrobus_station_count,0.0,0.0,0.0,0.0,49.6,0.4
6,metrobus_station_count,0.0,0.0,0.0,0.0,49.6,0.4
0,distance_to_nearest_metrobus_m,3671.879070033865,1608.139712600343,7787.806669954179,6179.666957353836,13.0,37.0
1,distance_to_nearest_metrobus_m,2626.3105360426703,1333.1196989075245,4122.361067716033,2789.241368808509,9.6,40.4
2,distance_to_nearest_metrobus_m,2121.5384211686496,1007.2127777043429,4039.507174825158,3032.294397120815,7.8,42.2
3,distance_to_nearest_metrobus_m,2440.295118718957,1035.508346086591,5031.997330494869,3996.488984408278,8.9,41.1
4,distance_to_nearest_metrobus_m,44390.98766998423,36972.82044359996,51351.26161053279,14378.441166932833,82.5,32.5
